N,P,K,temperature,humidity,ph,rainfall,label
62.77,47.37,68.94,25.17,79.45,5.94,192.84,turmeric_late_season_6
61.73,49.98,68.83,27.34,83.99,6.3,192.81,turmeric_late_season_6
65.01,44.77,68.3,26.07,85.16,6.07,178.38,turmeric_late_season_6
62.58,46.17,67.67,26.74,84.67,6.19,176.39,turmeric_late_season_6
62.7,46.42,66.18,27.53,86.47,5.81,182.06,turmeric_late_season_6
54.03,48.33,63.44,27.82,85.58,6.59,173.15,turmeric_late_season_6
59.63,47.36,73.86,26.7,81.45,6.24,184.4,turmeric_late_season_6
64.54,47.44,67.32,27.03,81.37,6.15,176.65,turmeric_late_season_6
64.26,46.59,68.57,26.0,84.72,6.38,190.56,turmeric_late_season_6
59.26,45.61,68.55,28.07,86.42,6.11,178.48,turmeric_late_season_6
57.31,49.66,72.8,26.59,84.29,6.09,169.92,turmeric_late_season_6
62.62,47.38,75.69,26.79,79.96,6.62,192.89,turmeric_late_season_6
53.18,49.69,69.57,26.4,81.29,6.68,183.99,turmeric_late_season_6
58.65,45.51,68.48,27.69,85.67,6.2,182.86,turmeric_late_season_6
67.7,46.59,65.14,26.88,83.05,6.53,190.65,turmeric_late_season_6
66.72,47.66,64.04,27.33,84.23,6.39,189.02,turmeric_late_season_6
63.74,47.89,62.9,27.01,86.61,6.03,177.08,turmeric_late_season_6
63.18,50.01,66.27,26.55,80.9,6.13,179.36,turmeric_late_season_6
56.16,47.16,61.8,27.47,82.89,6.63,174.52,turmeric_late_season_6
59.92,49.99,72.74,27.0,82.61,6.03,171.95,turmeric_late_season_6
61.3,49.1,70.48,25.95,84.82,6.77,186.88,turmeric_late_season_6
59.98,47.94,68.15,25.93,85.88,6.2,185.52,turmeric_late_season_6
52.04,34.64,30.5,18.98,58.46,7.0,58.24,coriander_hybrid_6
53.34,38.47,27.81,20.23,61.37,7.17,52.07,coriander_hybrid_6
52.07,38.32,31.89,19.41,59.38,6.73,59.69,coriander_hybrid_6
52.29,37.54,31.44,19.83,59.18,6.93,63.54,coriander_hybrid_6
44.92,36.49,29.42,18.85,59.19,6.34,51.9,coriander_hybrid_6
49.36,38.12,30.93,19.51,59.59,6.54,56.4,coriander_hybrid_6
52.55,35.91,32.2,20.29,59.01,6.81,56.86,coriander_hybrid_6
47.2,35.09,27.7,18.96,58.24,6.59,59.31,coriander_hybrid_6
50.36,38.58,28.98,19.34,61.54,7.2,62.39,coriander_hybrid_6
51.43,36.99,30.44,18.16,58.64,6.91,58.08,coriander_hybrid_6
51.24,35.17,30.99,18.63,59.07,6.98,62.48,coriander_hybrid_6
51.05,35.65,30.86,18.98,60.53,6.78,57.55,coriander_hybrid_6
51.63,35.07,32.33,18.4,60.33,6.59,58.25,coriander_hybrid_6
50.58,40.1,31.69,20.3,58.16,6.69,57.94,coriander_hybrid_6
46.46,36.42,32.03,18.58,61.12,6.84,60.17,coriander_hybrid_6
51.4,36.7,28.8,19.88,60.73,6.66,56.07,coriander_hybrid_6
50.84,37.73,31.18,19.4,60.08,6.92,59.17,coriander_hybrid_6
46.49,34.2,30.48,19.27,58.99,6.93,54.04,coriander_hybrid_6
53.59,38.41,33.22,20.43,59.03,6.79,56.41,coriander_hybrid_6
51.47,35.31,31.23,17.44,59.4,6.43,55.53,coriander_hybrid_6
46.67,39.75,29.92,19.09,57.55,7.13,57.34,coriander_hybrid_6
48.08,35.84,32.27,18.38,59.69,6.75,56.33,coriander_hybrid_6
48.71,38.3,31.83,17.68,61.36,7.33,59.95,coriander_hybrid_6
48.71,31.87,29.68,18.29,61.33,6.92,54.93,coriander_hybrid_6
50.86,34.27,30.42,19.26,59.08,6.75,52.79,coriander_hybrid_6
31.47,21.36,26.48,21.1,46.17,7.78,28.92,cumin_dwarf_6
35.44,24.6,27.47,21.69,44.36,7.31,30.34,cumin_dwarf_6
32.13,22.34,24.97,21.77,45.49,7.28,27.41,cumin_dwarf_6
34.44,24.34,27.28,22.82,44.84,7.68,31.17,cumin_dwarf_6
33.27,21.84,26.14,21.29,48.73,7.66,30.87,cumin_dwarf_6
35.16,23.31,26.82,21.43,47.64,7.23,33.12,cumin_dwarf_6
33.38,21.32,24.29,22.47,47.08,7.36,32.85,cumin_dwarf_6
38.43,21.21,25.86,22.65,43.59,7.8,32.08,cumin_dwarf_6
36.97,19.67,23.43,23.15,46.81,7.55,31.69,cumin_dwarf_6
33.23,22.91,28.11,22.38,45.88,7.62,30.52,cumin_dwarf_6
33.0,22.8,22.52,22.11,47.3,7.23,32.23,cumin_dwarf_6
39.05,23.57,25.01,22.47,46.07,7.6,27.92,cumin_dwarf_6
31.94,22.73,24.15,21.8,45.62,7.18,24.83,cumin_dwarf_6
33.67,25.44,26.55,21.79,45.95,7.07,33.61,cumin_dwarf_6
33.8,22.67,28.43,20.59,43.16,7.61,32.39,cumin_dwarf_6
33.76,23.89,26.53,22.72,44.58,7.75,30.39,cumin_dwarf_6
30.83,21.92,29.98,22.18,46.14,7.42,33.39,cumin_dwarf_6
34.6,21.04,23.48,22.63,47.19,7.36,28.87,cumin_dwarf_6
32.13,23.48,23.59,19.76,44.87,7.81,28.94,cumin_dwarf_6
36.19,22.27,24.2,21.97,45.57,7.43,28.59,cumin_dwarf_6
31.31,23.65,25.72,21.32,43.44,7.45,32.12,cumin_dwarf_6
33.87,22.93,24.0,23.21,47.63,7.8,26.75,cumin_dwarf_6
30.02,21.22,24.42,22.5,47.15,7.4,28.79,cumin_dwarf_6
30.13,24.02,26.47,22.2,46.52,7.34,31.43,cumin_dwarf_6
32.35,21.1,23.68,21.66,46.18,7.63,27.69,cumin_dwarf_6
42.71,31.59,34.19,19.52,56.65,6.98,48.93,fennel_high_yield_6
39.29,35.24,33.13,19.05,53.3,6.82,47.63,fennel_high_yield_6
45.51,33.32,32.58,20.38,53.57,6.97,45.25,fennel_high_yield_6
42.65,35.25,34.36,20.73,53.59,7.12,44.27,fennel_high_yield_6
41.74,33.56,33.8,20.53,51.61,7.16,48.75,fennel_high_yield_6
41.31,32.11,32.58,20.21,54.7,6.82,43.1,fennel_high_yield_6
43.25,30.57,35.99,19.25,52.72,6.88,47.85,fennel_high_yield_6
40.68,32.53,37.61,20.1,53.73,7.22,49.21,fennel_high_yield_6
48.46,32.11,36.22,20.57,54.49,7.17,48.47,fennel_high_yield_6
38.9,32.06,33.31,19.47,56.91,7.25,46.12,fennel_high_yield_6
43.17,31.87,34.47,20.03,51.65,7.34,43.98,fennel_high_yield_6
44.41,28.9,37.21,19.82,55.17,7.18,48.57,fennel_high_yield_6
42.46,34.24,32.52,21.26,55.18,6.99,50.1,fennel_high_yield_6
44.64,32.13,35.9,20.62,52.75,7.09,45.67,fennel_high_yield_6
42.4,29.93,32.05,20.42,54.74,7.4,48.37,fennel_high_yield_6
47.55,32.98,37.46,18.56,56.43,7.62,51.05,fennel_high_yield_6
41.7,30.83,33.81,20.07,52.54,7.16,47.95,fennel_high_yield_6
38.98,33.11,38.4,19.81,54.17,7.18,46.11,fennel_high_yield_6
41.3,33.63,37.54,19.8,54.43,7.22,49.7,fennel_high_yield_6
45.02,33.85,34.37,18.68,54.64,7.08,45.26,fennel_high_yield_6
43.91,31.95,33.31,19.06,55.02,7.3,43.85,fennel_high_yield_6
45.83,31.54,34.89,19.88,54.04,7.27,49.13,fennel_high_yield_6
45.28,31.2,34.24,20.83,54.6,7.14,46.08,fennel_high_yield_6
42.76,31.04,33.86,19.46,52.31,7.01,46.31,fennel_high_yield_6
43.09,32.18,31.69,19.61,54.04,6.77,45.53,fennel_high_yield_6
27.15,32.09,27.65,18.22,54.11,6.93,44.28,fenugreek_organic_6
29.97,28.24,25.13,17.6,54.62,6.95,49.11,fenugreek_organic_6
30.36,31.09,26.19,18.12,52.17,6.97,44.99,fenugreek_organic_6
30.55,30.64,28.33,16.78,52.89,7.06,47.25,fenugreek_organic_6
29.5,30.14,29.07,17.71,55.66,6.98,44.66,fenugreek_organic_6
28.56,31.94,23.85,17.04,56.6,6.96,43.81,fenugreek_organic_6
25.71,29.37,26.44,16.62,56.07,7.25,48.22,fenugreek_organic_6
27.58,31.81,26.81,16.91,56.01,7.1,47.93,fenugreek_organic_6
31.1,32.03,24.14,17.16,54.83,6.79,49.77,fenugreek_organic_6
27.21,32.85,27.6,18.59,54.27,7.13,46.83,fenugreek_organic_6
30.13,29.41,26.57,17.14,55.41,7.09,52.46,fenugreek_organic_6
27.94,28.81,26.69,16.58,56.29,6.88,47.58,fenugreek_organic_6
23.84,31.59,25.02,17.7,54.94,7.14,48.33,fenugreek_organic_6
28.82,30.71,27.02,17.62,56.93,6.95,43.52,fenugreek_organic_6
29.76,35.68,27.66,17.2,54.58,6.94,45.38,fenugreek_organic_6
27.79,31.87,26.59,17.47,53.32,6.93,48.21,fenugreek_organic_6
29.71,31.25,25.63,18.38,54.92,6.5,46.7,fenugreek_organic_6
25.36,30.89,25.74,18.13,55.11,6.88,47.38,fenugreek_organic_6
25.78,29.26,26.73,18.06,54.8,7.13,44.87,fenugreek_organic_6
28.17,32.04,26.47,16.65,57.05,6.98,47.22,fenugreek_organic_6
28.58,31.04,27.76,19.9,56.26,6.73,47.21,fenugreek_organic_6
29.9,31.04,25.68,18.44,52.58,7.18,43.96,fenugreek_organic_6
28.82,31.31,24.57,18.01,57.47,6.92,48.52,fenugreek_organic_6
26.07,31.5,26.94,16.66,50.42,6.74,42.66,fenugreek_organic_6
28.18,28.45,25.68,18.35,58.48,7.43,47.37,fenugreek_organic_6
70.09,31.19,30.06,18.43,43.68,7.09,20.0,mustard_drought_hardy_6
66.6,30.17,28.86,17.62,43.84,7.28,21.59,mustard_drought_hardy_6
66.58,31.92,29.45,17.72,40.57,7.23,21.92,mustard_drought_hardy_6
61.52,30.72,27.47,18.94,43.43,6.92,20.0,mustard_drought_hardy_6
70.1,30.33,28.67,19.39,42.19,7.01,20.0,mustard_drought_hardy_6
68.84,33.72,27.57,18.83,44.38,7.1,20.0,mustard_drought_hardy_6
61.69,32.27,29.64,19.33,44.56,7.06,22.43,mustard_drought_hardy_6
62.88,32.42,27.32,17.7,43.17,7.46,21.77,mustard_drought_hardy_6
68.45,30.79,25.34,17.75,44.45,7.21,22.88,mustard_drought_hardy_6
70.19,31.12,24.43,20.79,44.5,7.05,23.72,mustard_drought_hardy_6
60.34,31.02,29.93,19.98,43.43,7.11,20.0,mustard_drought_hardy_6
61.18,31.94,28.15,19.6,45.74,7.11,22.22,mustard_drought_hardy_6
63.94,32.42,28.25,18.46,42.78,7.15,23.7,mustard_drought_hardy_6
57.42,31.36,29.67,18.8,45.66,6.99,20.0,mustard_drought_hardy_6
64.47,30.16,24.95,18.99,43.43,7.04,20.0,mustard_drought_hardy_6
68.23,32.6,26.89,20.04,42.62,7.36,20.0,mustard_drought_hardy_6
59.77,31.46,27.08,19.31,43.27,7.24,22.14,mustard_drought_hardy_6
64.82,29.15,28.55,19.41,42.29,7.18,20.0,mustard_drought_hardy_6
62.53,28.06,26.39,18.85,44.76,7.21,24.54,mustard_drought_hardy_6
69.69,31.88,25.63,19.62,41.63,7.2,20.0,mustard_drought_hardy_6
62.57,30.11,25.62,19.23,45.55,7.17,22.29,mustard_drought_hardy_6
69.3,32.09,29.16,19.02,42.5,7.31,20.0,mustard_drought_hardy_6
62.48,30.19,26.32,18.39,44.83,7.3,21.23,mustard_drought_hardy_6
66.89,31.62,26.6,18.9,43.76,6.89,20.0,mustard_drought_hardy_6
65.22,30.81,28.38,18.13,44.08,7.18,20.0,mustard_drought_hardy_6
54.34,26.64,55.21,25.95,91.77,5.94,233.04,clove_moist_tolerant_6
52.88,30.93,55.19,27.93,85.83,5.74,224.79,clove_moist_tolerant_6
47.86,26.33,53.38,27.39,86.34,5.91,222.0,clove_moist_tolerant_6
52.29,26.74,51.06,26.85,87.45,5.83,244.41,clove_moist_tolerant_6
49.99,30.78,51.51,27.14,89.34,5.82,224.75,clove_moist_tolerant_6
49.77,32.08,57.27,24.98,83.98,5.65,238.93,clove_moist_tolerant_6
48.16,28.77,52.25,27.08,87.09,5.92,226.42,clove_moist_tolerant_6
53.74,29.13,53.1,27.24,80.29,5.64,220.96,clove_moist_tolerant_6
55.03,30.57,51.14,24.7,86.12,5.37,238.38,clove_moist_tolerant_6
57.65,29.64,50.92,27.1,89.62,5.67,226.88,clove_moist_tolerant_6
48.28,28.64,52.13,25.35,84.93,5.81,236.71,clove_moist_tolerant_6
54.13,28.47,58.79,24.92,87.28,5.39,237.4,clove_moist_tolerant_6
54.3,26.85,56.0,27.55,85.45,5.54,237.84,clove_moist_tolerant_6
50.61,29.55,52.79,25.69,84.59,5.47,230.25,clove_moist_tolerant_6
49.73,29.06,57.15,25.92,89.35,5.87,239.14,clove_moist_tolerant_6
49.3,28.55,53.8,27.28,84.1,6.05,224.16,clove_moist_tolerant_6
50.75,27.7,57.89,26.25,87.59,5.67,209.9,clove_moist_tolerant_6
52.65,27.85,60.21,26.35,87.63,5.82,239.33,clove_moist_tolerant_6
55.67,30.13,57.0,26.33,84.61,5.82,234.29,clove_moist_tolerant_6
55.01,30.53,54.47,26.77,87.23,6.03,227.07,clove_moist_tolerant_6
47.92,28.71,56.11,26.31,84.39,5.58,219.05,clove_moist_tolerant_6
50.07,28.55,54.26,26.58,88.18,5.67,213.79,clove_moist_tolerant_6
55.51,27.92,49.24,26.09,83.4,5.65,233.23,clove_moist_tolerant_6
50.22,30.61,52.44,26.77,85.94,5.73,248.1,clove_moist_tolerant_6
51.98,29.25,51.64,26.74,86.17,6.22,231.46,clove_moist_tolerant_6
42.18,25.44,47.5,22.72,87.79,5.71,230.56,cinnamon_hill_variety_6
42.9,26.73,44.78,23.93,88.09,5.55,232.47,cinnamon_hill_variety_6
47.63,25.55,44.76,24.81,89.74,5.4,238.37,cinnamon_hill_variety_6
44.57,25.64,46.29,24.13,84.93,5.67,234.0,cinnamon_hill_variety_6
40.95,25.21,46.2,24.09,82.37,5.65,242.64,cinnamon_hill_variety_6
43.01,24.8,44.77,22.21,88.21,5.32,239.07,cinnamon_hill_variety_6
43.67,26.89,49.32,23.17,88.67,5.44,231.49,cinnamon_hill_variety_6
40.68,26.66,46.35,25.47,87.27,5.5,217.57,cinnamon_hill_variety_6
44.58,28.62,46.6,23.34,87.82,5.39,249.11,cinnamon_hill_variety_6
41.2,26.46,44.01,24.84,90.05,5.11,228.57,cinnamon_hill_variety_6
39.71,24.8,52.02,23.33,86.53,5.2,238.38,cinnamon_hill_variety_6
43.12,24.19,52.86,23.6,87.01,5.12,217.01,cinnamon_hill_variety_6
42.78,26.98,45.3,24.24,87.95,5.49,234.92,cinnamon_hill_variety_6
42.95,24.33,50.03,23.9,84.53,5.15,235.97,cinnamon_hill_variety_6
41.31,26.76,46.92,24.13,87.34,5.43,236.42,cinnamon_hill_variety_6
41.61,24.41,50.92,23.17,87.57,5.75,263.36,cinnamon_hill_variety_6
45.38,26.07,47.93,22.91,92.05,5.67,229.09,cinnamon_hill_variety_6
43.9,23.96,47.37,23.11,86.96,5.02,242.74,cinnamon_hill_variety_6
40.9,26.72,41.25,23.4,88.27,5.13,239.94,cinnamon_hill_variety_6
38.76,23.7,45.07,23.64,90.16,5.23,228.64,cinnamon_hill_variety_6
40.99,25.96,47.19,24.65,85.54,5.15,242.6,cinnamon_hill_variety_6
43.29,25.25,47.61,23.89,91.36,5.06,233.48,cinnamon_hill_variety_6
41.6,25.7,44.27,24.21,92.38,5.39,243.25,cinnamon_hill_variety_6
41.43,24.95,45.42,23.94,87.67,5.53,253.46,cinnamon_hill_variety_6
41.69,24.92,48.44,22.93,86.32,5.58,236.44,cinnamon_hill_variety_6
124.23,42.99,19.45,25.93,78.29,6.82,71.01,cotton_plains_variety_6
132.62,37.8,19.91,25.74,73.63,6.87,70.35,cotton_plains_variety_6
134.79,51.8,20.69,27.79,74.81,6.46,69.5,cotton_plains_variety_6
120.43,44.04,19.91,25.88,79.02,6.71,67.69,cotton_plains_variety_6
123.14,43.92,19.75,25.48,77.48,7.12,66.53,cotton_plains_variety_6
130.25,40.36,18.31,25.86,78.8,7.28,65.59,cotton_plains_variety_6
125.16,40.52,16.56,26.59,74.97,6.74,66.97,cotton_plains_variety_6
119.98,43.53,17.01,25.74,80.53,6.97,68.77,cotton_plains_variety_6
129.4,44.46,22.67,26.33,78.71,7.15,65.7,cotton_plains_variety_6
130.23,45.26,19.58,26.1,79.17,6.83,69.35,cotton_plains_variety_6
123.89,44.25,18.73,25.55,74.62,7.07,68.35,cotton_plains_variety_6
126.38,41.13,20.99,25.87,79.83,6.93,67.79,cotton_plains_variety_6
122.36,38.25,17.97,27.06,76.39,7.17,72.09,cotton_plains_variety_6
119.1,43.51,19.97,25.97,75.7,6.68,62.1,cotton_plains_variety_6
122.86,42.56,19.21,24.99,78.56,6.71,67.83,cotton_plains_variety_6
126.46,40.97,19.79,25.52,78.47,6.99,62.4,cotton_plains_variety_6
116.7,45.54,18.59,24.09,75.16,6.95,69.54,cotton_plains_variety_6
123.32,40.28,17.65,25.89,81.87,6.92,70.98,cotton_plains_variety_6
126.55,45.08,17.86,26.83,81.32,7.05,65.16,cotton_plains_variety_6
133.52,40.64,17.92,24.71,78.52,6.75,65.51,cotton_plains_variety_6
124.03,44.02,19.09,25.9,78.11,6.66,64.21,cotton_plains_variety_6
118.15,45.77,16.76,26.57,77.88,6.83,69.06,cotton_plains_variety_6
124.68,42.99,17.22,26.65,73.53,6.86,67.95,cotton_plains_variety_6
122.43,47.42,19.3,26.8,77.38,6.88,68.12,cotton_plains_variety_6
129.47,47.92,18.9,24.28,77.35,7.19,67.87,cotton_plains_variety_6
77.56,49.0,40.49,24.88,77.28,6.81,174.51,jute_sweet_variety_6
86.14,43.99,42.08,25.47,77.61,6.57,171.73,jute_sweet_variety_6
82.64,51.14,41.44,25.61,81.1,6.73,186.9,jute_sweet_variety_6
76.7,49.32,39.77,24.8,82.72,6.57,175.97,jute_sweet_variety_6
78.67,45.66,44.09,27.31,82.68,6.6,186.34,jute_sweet_variety_6
77.98,47.31,43.49,24.99,77.77,6.96,175.75,jute_sweet_variety_6
87.26,45.02,39.43,23.78,82.56,6.48,178.95,jute_sweet_variety_6
84.43,47.74,42.05,26.09,75.91,6.86,171.66,jute_sweet_variety_6
81.01,48.52,41.05,25.61,79.7,6.71,171.74,jute_sweet_variety_6
88.49,47.35,38.87,25.31,81.36,6.59,178.59,jute_sweet_variety_6
87.45,47.07,39.26,24.75,75.18,6.47,178.72,jute_sweet_variety_6
80.59,44.27,39.58,25.44,85.22,6.48,179.92,jute_sweet_variety_6
79.86,48.97,42.13,26.42,83.37,6.56,178.36,jute_sweet_variety_6
80.05,43.52,41.28,25.28,81.74,6.68,166.32,jute_sweet_variety_6
77.65,48.23,40.22,23.95,77.86,6.83,170.05,jute_sweet_variety_6
88.6,43.82,41.42,22.36,80.02,6.65,181.69,jute_sweet_variety_6
77.43,48.28,43.83,25.43,82.08,6.66,161.95,jute_sweet_variety_6
85.07,48.14,43.0,24.33,77.48,6.69,177.77,jute_sweet_variety_6
84.35,49.12,44.37,25.04,79.75,6.8,174.93,jute_sweet_variety_6
80.29,50.23,41.77,24.48,82.37,6.84,181.69,jute_sweet_variety_6
88.91,50.68,45.64,24.42,76.59,6.43,178.64,jute_sweet_variety_6
75.17,44.28,42.99,24.51,80.98,6.65,171.05,jute_sweet_variety_6
81.21,48.01,41.22,24.58,75.96,6.95,170.73,jute_sweet_variety_6
79.54,53.0,42.45,25.74,77.91,6.45,172.04,jute_sweet_variety_6
85.45,48.44,39.61,25.58,78.97,6.72,179.79,jute_sweet_variety_6
94.01,29.38,32.59,24.73,56.2,6.86,155.7,coffee_grade_a_6
107.07,31.06,31.39,24.01,57.74,6.85,155.46,coffee_grade_a_6
101.55,29.05,29.89,25.48,60.3,7.41,154.59,coffee_grade_a_6
107.25,29.64,31.64,24.29,57.38,6.53,147.73,coffee_grade_a_6
108.07,28.29,32.17,24.59,59.1,6.62,151.5,coffee_grade_a_6
97.41,27.47,27.99,25.98,56.62,6.91,164.43,coffee_grade_a_6
105.03,30.38,31.23,26.75,58.68,6.7,163.5,coffee_grade_a_6
107.06,30.99,30.76,24.44,57.94,6.65,160.62,coffee_grade_a_6
106.71,30.19,32.53,24.65,56.77,6.93,160.07,coffee_grade_a_6
105.59,29.32,31.65,24.89,60.33,6.69,162.68,coffee_grade_a_6
99.75,27.67,31.8,24.81,60.43,6.56,149.96,coffee_grade_a_6
100.56,30.84,30.3,26.79,57.22,6.89,157.2,coffee_grade_a_6
98.92,30.0,31.05,24.82,58.55,6.82,149.96,coffee_grade_a_6
109.18,32.16,32.52,24.93,59.01,6.68,150.07,coffee_grade_a_6
105.62,27.4,30.95,26.54,55.72,6.67,159.31,coffee_grade_a_6
105.96,30.42,31.32,25.71,56.46,6.56,162.94,coffee_grade_a_6
97.18,29.95,28.67,26.03,61.21,6.89,155.78,coffee_grade_a_6
106.06,28.61,30.94,24.52,57.05,6.67,167.35,coffee_grade_a_6
109.6,31.17,27.93,24.82,61.16,6.59,158.32,coffee_grade_a_6
96.45,29.73,30.25,24.41,56.55,6.49,152.12,coffee_grade_a_6
103.39,27.72,31.15,25.89,60.1,6.82,150.17,coffee_grade_a_6
97.9,28.95,32.24,26.23,58.38,6.64,163.39,coffee_grade_a_6
104.01,27.7,29.5,24.76,58.63,6.34,157.8,coffee_grade_a_6
101.45,28.42,31.63,24.95,62.21,6.5,161.24,coffee_grade_a_6
108.26,30.18,33.33,24.99,56.71,6.7,140.3,coffee_grade_a_6
21.81,20.26,31.73,27.37,96.18,6.24,172.03,coconut_export_quality_6
20.68,19.9,34.64,27.72,100.0,6.05,186.5,coconut_export_quality_6
19.36,18.4,33.04,27.86,95.43,5.69,174.17,coconut_export_quality_6
21.35,19.37,31.26,28.28,98.23,6.02,175.78,coconut_export_quality_6
23.08,19.88,34.29,26.4,89.82,5.99,176.71,coconut_export_quality_6
24.85,19.52,31.33,28.73,98.75,6.04,174.51,coconut_export_quality_6
21.81,19.9,30.33,26.7,91.17,6.25,173.98,coconut_export_quality_6
20.38,18.46,32.9,28.3,98.42,5.9,172.71,coconut_export_quality_6
20.29,20.01,36.05,27.73,96.65,6.35,188.97,coconut_export_quality_6
22.89,19.24,29.9,26.6,95.25,6.02,183.81,coconut_export_quality_6
19.95,18.51,30.72,28.1,95.24,5.88,187.87,coconut_export_quality_6
22.38,18.85,34.15,26.88,94.8,6.42,189.32,coconut_export_quality_6
21.89,19.07,31.85,28.55,93.18,6.1,162.12,coconut_export_quality_6
21.72,17.05,33.91,27.07,94.94,5.85,181.4,coconut_export_quality_6
19.09,18.26,31.53,26.42,100.0,5.95,174.75,coconut_export_quality_6
20.91,19.31,33.14,28.94,99.26,6.06,186.94,coconut_export_quality_6
19.26,17.19,35.78,27.81,93.03,5.91,173.63,coconut_export_quality_6
20.56,18.29,30.94,28.38,96.29,5.96,171.4,coconut_export_quality_6
22.82,22.79,34.59,26.96,95.8,5.77,168.68,coconut_export_quality_6
23.29,17.52,34.03,26.09,95.12,5.6,176.78,coconut_export_quality_6
21.77,18.64,30.46,29.05,92.65,5.96,185.49,coconut_export_quality_6
20.59,17.97,33.83,27.66,96.81,5.96,180.78,coconut_export_quality_6
23.83,19.04,33.03,28.07,97.95,6.04,170.33,coconut_export_quality_6
20.57,17.99,33.06,28.21,93.14,5.82,194.35,coconut_export_quality_6
19.74,18.85,33.46,27.39,100.0,5.67,183.59,coconut_export_quality_6
70.21,24.72,36.78,20.68,79.27,4.98,207.63,tea_early_season_7
71.93,25.99,32.99,18.95,81.58,5.07,213.61,tea_early_season_7
62.04,24.18,36.49,19.61,85.75,5.37,201.86,tea_early_season_7
64.5,25.71,35.69,20.79,82.92,5.02,213.99,tea_early_season_7
70.37,24.97,33.83,22.4,82.02,5.47,205.03,tea_early_season_7
64.84,25.89,34.06,21.43,84.31,4.79,205.63,tea_early_season_7
66.65,26.62,31.86,21.72,80.98,5.06,222.02,tea_early_season_7
67.32,25.06,38.51,20.73,86.92,5.29,200.74,tea_early_season_7
63.27,24.35,37.26,20.73,82.97,5.3,214.76,tea_early_season_7
66.36,24.34,33.18,19.63,81.95,5.06,208.64,tea_early_season_7
70.67,23.49,36.88,21.22,84.41,5.33,200.02,tea_early_season_7
70.05,23.44,34.44,20.4,85.29,5.29,193.93,tea_early_season_7
71.35,25.55,37.08,21.01,86.93,4.99,196.25,tea_early_season_7
71.0,22.75,34.58,20.49,82.43,5.19,213.97,tea_early_season_7
68.96,26.62,34.82,20.68,85.66,5.27,218.91,tea_early_season_7
68.69,23.97,34.95,20.39,83.21,5.01,205.46,tea_early_season_7
68.44,28.49,34.3,20.64,81.43,5.47,205.89,tea_early_season_7
65.47,23.15,37.94,21.26,81.02,4.96,211.07,tea_early_season_7
64.1,24.57,37.05,19.45,80.22,5.16,205.31,tea_early_season_7
65.25,23.67,35.66,19.27,81.11,4.88,213.71,tea_early_season_7
66.48,23.0,37.28,20.8,85.73,5.15,207.1,tea_early_season_7
65.37,25.79,32.58,21.61,84.71,4.92,205.82,tea_early_season_7
68.98,22.54,33.28,21.81,79.87,5.07,198.98,tea_early_season_7
68.27,23.18,36.3,19.48,78.61,4.81,196.97,tea_early_season_7
68.63,25.07,36.77,20.14,80.19,5.29,178.84,tea_early_season_7
140.0,58.11,66.69,26.72,81.29,6.81,170.02,sugarcane_late_season_7
135.18,55.67,63.05,28.81,80.53,6.96,176.21,sugarcane_late_season_7
133.45,62.96,66.87,28.81,77.57,6.75,181.35,sugarcane_late_season_7
122.89,53.45,66.04,28.92,79.55,6.87,182.86,sugarcane_late_season_7
131.82,60.56,66.42,29.61,84.66,6.67,176.99,sugarcane_late_season_7
130.92,52.47,69.76,26.98,81.62,6.46,176.64,sugarcane_late_season_7
130.76,62.38,65.42,28.45,80.84,6.78,179.7,sugarcane_late_season_7
138.44,53.98,62.41,27.86,83.95,6.91,178.61,sugarcane_late_season_7
137.01,57.79,60.79,27.62,82.46,6.51,166.3,sugarcane_late_season_7
126.91,52.58,67.99,28.59,80.41,6.68,166.43,sugarcane_late_season_7
127.34,53.38,65.51,29.26,81.29,6.73,160.56,sugarcane_late_season_7
127.33,59.82,69.74,28.91,78.91,7.35,180.73,sugarcane_late_season_7
140.0,60.19,57.83,28.06,79.41,6.82,172.58,sugarcane_late_season_7
140.0,57.93,67.29,28.53,80.27,6.39,181.11,sugarcane_late_season_7
130.37,59.37,63.52,29.45,82.12,6.34,178.19,sugarcane_late_season_7
122.72,60.24,63.23,29.24,77.75,6.92,168.32,sugarcane_late_season_7
137.05,55.29,61.9,28.18,80.95,7.27,174.51,sugarcane_late_season_7
136.5,53.24,67.26,28.12,79.82,6.72,172.16,sugarcane_late_season_7
138.33,57.21,66.34,27.18,78.59,6.71,171.08,sugarcane_late_season_7
140.0,55.6,60.69,28.28,79.84,6.86,181.78,sugarcane_late_season_7
139.25,58.36,64.89,27.16,75.14,6.62,192.97,sugarcane_late_season_7
128.57,58.82,66.64,30.43,78.93,6.27,183.18,sugarcane_late_season_7
138.18,55.3,64.94,27.92,78.11,6.98,175.17,sugarcane_late_season_7
140.0,59.26,67.93,29.61,80.09,6.65,184.19,sugarcane_late_season_7
131.25,59.12,63.43,30.22,75.25,6.99,187.37,sugarcane_late_season_7
63.88,47.35,77.8,24.63,70.22,6.2,91.49,tobacco_hybrid_7
72.87,52.16,84.47,24.69,68.59,6.14,92.39,tobacco_hybrid_7
71.3,48.81,81.65,24.46,70.83,6.13,90.55,tobacco_hybrid_7
72.74,48.12,81.26,24.73,66.11,6.09,93.2,tobacco_hybrid_7
71.45,51.93,72.0,25.0,69.48,6.19,91.97,tobacco_hybrid_7
67.88,50.39,75.6,24.72,73.53,5.88,94.04,tobacco_hybrid_7
